"","ID","human_entrez","name","B_vs_A_p.val","C_vs_A_p.val","B_vs_A_p.adj","C_vs_A_p.adj","B_vs_A_significant","C_vs_A_significant","significant","B_vs_A_ratio","C_vs_A_ratio","A_centered","B_centered","C_centered"
"34","O00203",8546,"AP3B1",0.591099805117888,0.172323160140155,1,0.000176,FALSE,FALSE,FALSE,0.122,0.309,-0.144,-0.0219,0.166
"35","O00217",4728,"NDUFS8",0.153092336611688,0.0308700917808497,1,1.89e-07,FALSE,FALSE,FALSE,0.324,0.489,-0.271,0.0527,0.218
"36","O00231",5717,"PSMD11",0.494620773992933,0.167671500817143,1,0.000159,FALSE,FALSE,FALSE,0.155,0.312,-0.156,-0.00104,0.157
"37","O00232",5718,"PSMD12",0.3348887536058,0.103304070102703,1,2.58e-05,FALSE,FALSE,FALSE,0.218,0.369,-0.196,0.0226,0.173
"38","O00233",5715,"PSMD9",0.663963395428936,0.3140175032723,1,0.00152,FALSE,FALSE,FALSE,0.0984,0.228,-0.109,-0.0104,0.119
"39","O00244",475,"ATOX1",0.486582999954306,0.336336638732489,1,0.00194,FALSE,FALSE,FALSE,0.158,0.218,-0.125,0.0325,0.0926
"40","O00255",4221,"MEN1",0.565235664777106,0.0708913505243046,1,5.91e-06,FALSE,FALSE,FALSE,0.13,0.409,-0.18,-0.0495,0.229
"41","O00264",10857,"PGRMC1",0.735424655785964,0.424938010994255,1,0.00447,FALSE,FALSE,FALSE,0.0765,0.181,-0.0857,-0.00921,0.095
"42","O00267",6829,"SUPT5H",0.184000301787848,0.057020840851549,1,2.42e-06,FALSE,FALSE,FALSE,0.301,0.431,-0.244,0.0569,0.187
"43","O00268",6874,"TAF4",0.426984663659385,0.152248684022774,1,0.000111,FALSE,FALSE,FALSE,-0.18,-0.324,0.168,-0.0119,-0.156
"44","O00273",1676,"DFFA",0.171951482303757,0.0310635240561736,1,1.94e-07,FALSE,FALSE,FALSE,0.309,0.488,-0.266,0.0435,0.222
"45","O00291",3092,"HIP1",0.781059326356077,0.137212638199452,1,7.57e-05,FALSE,FALSE,FALSE,0.0629,0.337,-0.133,-0.0702,0.203
"46","O00299",1192,"CLIC1",0.675928834177541,0.166766107618924,1,0.000156,FALSE,FALSE,FALSE,0.0947,0.313,-0.136,-0.0413,0.177
"47","O00303",8665,"EIF3F",0.398009834930577,0.0193081692560204,1,2.44e-08,FALSE,FALSE,FALSE,0.191,0.53,-0.24,-0.049,0.289
"48","O00308",11060,"WWP2",0.329535078122251,0.00935918190089627,1,9.7e-10,FALSE,TRUE,TRUE,0.221,0.589,-0.27,-0.049,0.319
"49","O00330",8050,"PDHX",0.157296894922485,0.382368393470132,1,0.00308,FALSE,FALSE,FALSE,0.32,0.198,-0.173,0.148,0.0251
"50","O00399",10671,"DCTN6",0.554392450992069,0.0497001233596705,1,1.39e-06,FALSE,FALSE,FALSE,0.134,0.444,-0.193,-0.0589,0.252
"51","O00401",8976,"WASL",0.964742870693383,0.315640076169367,1,0.00155,FALSE,FALSE,FALSE,0.01,0.227,-0.0791,-0.0691,0.148
