"","ID","human_entrez","name","B_vs_A_p.val","C_vs_A_p.val","B_vs_A_p.adj","C_vs_A_p.adj","B_vs_A_significant","C_vs_A_significant","significant","B_vs_A_ratio","C_vs_A_ratio","A_centered","B_centered","C_centered"
"610","P05783",3875,"KRT18",0.171147454189565,0.026090911655297,1,9.23e-08,FALSE,FALSE,FALSE,0.31,0.504,-0.271,0.0387,0.233
"611","P05976",4632,"MYL1",0.898238959278225,0.175967231788786,1,0.000189,FALSE,FALSE,FALSE,0.029,-0.306,0.0925,0.121,-0.214
"612","P06132",7389,"UROD",0.805487603700608,0.0756376390994826,1,7.62e-06,FALSE,FALSE,FALSE,0.0558,0.402,-0.153,-0.0969,0.25
"613","P06280",2717,"GLA",0.0728519066364288,0.658070095963057,1,0.0194,FALSE,FALSE,FALSE,0.406,0.1,-0.169,0.237,-0.0686
"614","P06307",885,"CCK",0.620433483360686,0.104609253630667,1,2.7e-05,FALSE,FALSE,FALSE,0.112,0.368,-0.16,-0.0477,0.208
"615","P06396",2934,"GSN",0.469454243838762,0.15806792897037,1,0.000128,FALSE,FALSE,FALSE,0.164,0.32,-0.161,0.00265,0.159
"616","P06454",5757,"PTMA",0.420208074549814,0.732074368612881,1,0.0269,FALSE,FALSE,FALSE,0.183,0.0775,-0.0867,0.0959,-0.00916
"617","P06493",983,"CDK1",0.924618265288402,0.274357927242492,1,0.000942,FALSE,FALSE,FALSE,0.0214,0.248,-0.0897,-0.0682,0.158
"618","P06576",506,"ATP5B",0.214133955977698,0.0729214373236242,1,6.6e-06,FALSE,FALSE,FALSE,0.281,0.406,-0.229,0.0522,0.177
"619","P06703",6277,"S100A6",0.103390287022772,0.042922425955603,1,7.68e-07,FALSE,FALSE,FALSE,0.369,0.459,-0.276,0.0931,0.183
"620","P06730",1977,"EIF4E",0.857908748332922,0.709541972776892,1,0.0245,FALSE,FALSE,FALSE,0.0405,0.0844,-0.0416,-0.00109,0.0427
"621","P06733",2023,"ENO1",0.765581560833378,0.261077280722394,1,0.000789,FALSE,FALSE,FALSE,-0.0675,0.255,-0.0623,-0.13,0.192
"622","P06737",5836,"PYGL",0.610937653178144,0.159251171341548,1,0.000132,FALSE,FALSE,FALSE,0.115,0.319,-0.145,-0.0295,0.174
"623","P06744",2821,"GPI",0.975033996849924,0.0959732884691356,1,1.95e-05,FALSE,FALSE,FALSE,-0.00709,0.377,-0.123,-0.13,0.254
"624","P06748",4869,"NPM1",0.489048924728192,0.0774810171978938,1,8.36e-06,FALSE,FALSE,FALSE,0.157,0.4,-0.186,-0.0288,0.214
"625","P06753",7170,"TPM3",0.393049035597082,0.340341802511155,1,0.00203,FALSE,FALSE,FALSE,0.193,0.216,-0.136,0.057,0.0795
"626","P06756",3685,"ITGAV",0.522931496423775,0.347037763519128,1,0.00217,FALSE,FALSE,FALSE,0.145,0.213,-0.119,0.0255,0.0938
"627","P06865",3073,"HEXA",0.242569884671115,0.0438928314571511,1,8.4e-07,FALSE,FALSE,FALSE,0.265,0.456,-0.24,0.0243,0.216
"628","P07099",2052,"EPHX1",0.161673489549308,0.0898074686140677,1,1.5e-05,FALSE,FALSE,FALSE,0.317,0.384,-0.234,0.0832,0.15
"629","P07108",1622,"DBI",0.756817797699811,0.299867335818878,1,0.00129,FALSE,FALSE,FALSE,-0.0701,0.235,-0.0549,-0.125,0.18
"630","P07195",3945,"LDHB",0.961726341047375,0.219492207206556,1,0.000418,FALSE,FALSE,FALSE,-0.0109,0.278,-0.0891,-0.0999,0.189
"631","P07203",2876,"GPX1",0.726514072755561,0.0445260248064208,1,8.88e-07,FALSE,FALSE,FALSE,0.0792,0.455,-0.178,-0.0989,0.277
"632","P07237",5034,"P4HB",0.192105974676346,0.0371680685523339,1,4.22e-07,FALSE,FALSE,FALSE,0.295,0.472,-0.256,0.0396,0.216
"633","P07305",3005,"H1F0",0.660901837895542,0.343614566474,1,0.0021,FALSE,FALSE,FALSE,0.0994,0.214,-0.105,-0.00526,0.11
"634","P07339",1509,"CTSD",0.129850894774966,0.00250025712354331,1,2.29e-12,FALSE,TRUE,TRUE,0.343,0.685,-0.343,0.000443,0.342
"635","P07355",302,"ANXA2",0.307627032551592,0.177059088727182,1,0.000193,FALSE,FALSE,FALSE,0.231,0.306,-0.179,0.0521,0.127
"636","P07384",823,"CAPN1",0.953359790185421,0.282869211776365,1,0.00105,FALSE,FALSE,FALSE,-0.0132,0.243,-0.0767,-0.0899,0.167
"637","P07437",203068,"TUBB",0.731257391225575,0.162256922562524,1,0.000141,FALSE,FALSE,FALSE,0.0778,0.317,-0.131,-0.0536,0.185
"638","P07476",3713,"IVL",0.608877688153842,0.107927820146746,1,3.04e-05,FALSE,FALSE,FALSE,0.116,0.364,-0.16,-0.0441,0.204
"639","P07602",5660,"PSAP",0.483743715645687,0.06577925743571,1,4.36e-06,FALSE,FALSE,FALSE,0.159,0.417,-0.192,-0.0332,0.225
"640","P07686",3074,"HEXB",0.62156780456916,0.291926092525688,1,0.00117,FALSE,FALSE,FALSE,0.112,0.239,-0.117,-0.00503,0.122
"641","P07711",1514,"CTSL",0.00194549337929268,0.0296320092263459,1,1.59e-07,TRUE,FALSE,TRUE,0.702,0.493,-0.398,0.304,0.0945
"642","P07737",5216,"PFN1",0.125126857032817,0.000271653110134138,1,7.56e-16,FALSE,TRUE,TRUE,0.347,0.825,-0.391,-0.0433,0.434
"643","P07741",353,"APRT",0.403603701632851,0.0257654351659484,1,8.75e-08,FALSE,FALSE,FALSE,0.189,0.505,-0.231,-0.0422,0.274
"644","P07814",2058,"EPRS",0.580603720518829,0.14552845794278,1,9.41e-05,FALSE,FALSE,FALSE,0.125,0.33,-0.152,-0.0265,0.178
"645","P07858",1508,"CTSB",0.378554119224904,0.456709207669828,1,0.00574,FALSE,FALSE,FALSE,0.199,0.169,-0.123,0.0768,0.0459
"646","P07900",3320,"HSP90AA1",0.931636049829174,0.191539630423896,1,0.000257,FALSE,FALSE,FALSE,-0.0194,0.296,-0.0921,-0.112,0.204
"647","P07910",3183,"HNRNPC",0.329593182528168,0.208836238027607,1,0.000351,FALSE,FALSE,FALSE,0.221,0.285,-0.168,0.0523,0.116
"648","P07919",7388,"UQCRH",0.0484717809768062,0.560686185568938,1,0.0116,FALSE,FALSE,FALSE,0.447,0.132,-0.193,0.254,-0.0611
"649","P07948",4067,"LYN",0.269905205911866,0.132257270907542,1,6.59e-05,FALSE,FALSE,FALSE,0.25,0.341,-0.197,0.0529,0.144
"650","P07954",2271,"FH",0.43905996184702,0.339767947128759,1,0.00201,FALSE,FALSE,FALSE,0.175,0.216,-0.13,0.0448,0.0857
"651","P08047",6667,"SP1",0.216173760227659,0.404140132862568,1,0.00375,FALSE,FALSE,FALSE,0.28,0.189,-0.156,0.124,0.0326
"652","P08133",309,"ANXA6",0.965929821094719,0.12858269931007,1,5.93e-05,FALSE,FALSE,FALSE,-0.00967,0.344,-0.112,-0.121,0.233
"653","P08134",389,"RHOC",0.917760872075826,0.414068756445859,1,0.00408,FALSE,FALSE,FALSE,-0.0234,0.185,-0.0539,-0.0773,0.131
"654","P08174",1604,"CD55",0.0435948190845158,0.0728878333349967,1,6.59e-06,FALSE,FALSE,FALSE,0.457,0.406,-0.288,0.169,0.118
"655","P08195",6520,"SLC3A2",0.0745952225606499,0.177275550020136,1,0.000194,FALSE,FALSE,FALSE,0.404,0.306,-0.236,0.167,0.0691
"656","P08236",2990,"GUSB",0.276376829547718,0.117259562584855,1,4.16e-05,FALSE,FALSE,FALSE,0.247,0.355,-0.2,0.0461,0.154
"657","P08237",5213,"PFKM",0.54723362623864,0.153989102799566,1,0.000116,FALSE,FALSE,FALSE,0.136,0.323,-0.153,-0.0167,0.17
"658","P08238",3326,"HSP90AB1",0.875679094866572,0.361862909468039,1,0.00252,FALSE,FALSE,FALSE,-0.0354,0.207,-0.057,-0.0925,0.149
"659","P08240",6734,"SRPR",0.653358755884647,0.388469582622977,1,0.00326,FALSE,FALSE,FALSE,0.102,0.195,-0.099,0.0027,0.0963
"660","P08243",440,"ASNS",0.0633726257990276,0.0528939697551714,1,1.78e-06,FALSE,FALSE,FALSE,0.42,0.438,-0.286,0.134,0.152
"661","P08397",3145,"HMBS",0.482339441432523,0.149485751603184,1,0.000104,FALSE,FALSE,FALSE,0.159,0.326,-0.162,-0.00274,0.165
"662","P08559",5160,"PDHA1",0.394825677208612,0.264687715605104,1,0.000829,FALSE,FALSE,FALSE,0.193,0.253,-0.148,0.0443,0.104
"663","P08574",1537,"CYC1",0.448722961688882,0.224293512183645,1,0.000453,FALSE,FALSE,FALSE,0.172,0.275,-0.149,0.0226,0.126
"664","P08579",6629,"SNRPB2",0.397830031366408,0.665653215577748,1,0.0201,FALSE,FALSE,FALSE,0.191,0.0979,-0.0965,0.095,0.00141
"665","P08581",4233,"MET",0.163720721114502,0.0247084725556773,1,7.3e-08,FALSE,FALSE,FALSE,0.315,0.509,-0.275,0.0407,0.234
"666","P08582",4241,"MFI2",0.000960737101310634,0.00118337812898916,1,6.33e-14,TRUE,TRUE,TRUE,0.748,0.735,-0.494,0.254,0.24
"667","P08621",6625,"SNRNP70",0.584918066271129,0.193304055535063,1,0.000265,FALSE,FALSE,FALSE,0.124,0.295,-0.139,-0.0157,0.155
"668","P08648",3678,"ITGA5",0.538675203075332,0.457844179710606,1,0.00579,FALSE,FALSE,FALSE,0.139,0.168,-0.102,0.0368,0.0657
"669","P08651",4782,"NFIC",0.466938084908366,0.112722167957324,1,3.58e-05,FALSE,FALSE,FALSE,0.165,0.359,-0.175,-0.0099,0.185
"670","P08670",7431,"VIM",0.420166202403472,0.344535741419841,1,0.00212,FALSE,FALSE,FALSE,0.183,0.214,-0.132,0.0504,0.0819
"671","P08708",6218,"RPS17",0.413774106616701,0.0729259146804622,1,6.6e-06,FALSE,FALSE,FALSE,0.185,0.406,-0.197,-0.012,0.209
"672","P08754",2773,"GNAI3",0.552161925327445,0.259768571623872,1,0.000775,FALSE,FALSE,FALSE,0.135,0.255,-0.13,0.00469,0.125
"673","P08758",308,"ANXA5",0.831380931091153,0.118254668961078,1,4.29e-05,FALSE,FALSE,FALSE,0.0482,0.354,-0.134,-0.0858,0.22
"674","P08865",3921,"RPSA",0.94237718588784,0.351963046447237,1,0.00229,FALSE,FALSE,FALSE,0.0164,0.211,-0.0757,-0.0594,0.135
"675","P09001",11222,"MRPL3",0.916351025083665,0.327254861110587,1,0.00176,FALSE,FALSE,FALSE,0.0238,0.222,-0.0819,-0.0581,0.14
"676","P09012",6626,"SNRPA",0.700859762292753,0.417406485326803,1,0.0042,FALSE,FALSE,FALSE,0.087,0.184,-0.0902,-0.00322,0.0934
"677","P09104",2026,"ENO2",0.993221056236131,0.144103273529452,1,9.08e-05,FALSE,FALSE,FALSE,0.00192,0.331,-0.111,-0.109,0.22
"678","P09110",30,"ACAA1",0.125521340734074,0.0904141482792808,1,1.54e-05,FALSE,FALSE,FALSE,0.347,0.383,-0.243,0.103,0.14
"679","P09132",6728,"SRP19",0.547498893988656,0.710007238912857,1,0.0245,FALSE,FALSE,FALSE,0.136,0.0842,-0.0735,0.0627,0.0107
"680","P09211",2950,"GSTP1",0.584403246892318,0.026005484264785,1,9.1e-08,FALSE,FALSE,FALSE,0.124,0.504,-0.209,-0.0855,0.295
"681","P09382",3956,"LGALS1",0.467554183892621,0.240663688622348,1,0.000586,FALSE,FALSE,FALSE,0.165,0.266,-0.143,0.0211,0.122
"682","P09417",5860,"QDPR",0.153582934660122,0.0276749361537367,1,1.19e-07,FALSE,FALSE,FALSE,0.323,0.499,-0.274,0.0492,0.225
"683","P09429",3146,"HMGB1",0.383465602823785,0.031641301412306,1,2.1e-07,FALSE,FALSE,FALSE,0.197,0.487,-0.228,-0.0306,0.259
"684","P09467",2203,"FBP1",0.73149630255611,0.328717500467744,1,0.00179,FALSE,FALSE,FALSE,0.0777,0.221,-0.0996,-0.0219,0.122
"685","P09493",7168,"TPM1",0.47429554895935,0.370543317063257,1,0.00275,FALSE,FALSE,FALSE,0.162,0.203,-0.122,0.0404,0.0812
"686","P09496",1211,"CLTA",0.688675146098699,0.189709028327575,1,0.000248,FALSE,FALSE,FALSE,0.0907,0.297,-0.129,-0.0385,0.168
"687","P09497",1212,"CLTB",0.44579294968592,0.197224005987504,1,0.000285,FALSE,FALSE,FALSE,0.173,0.292,-0.155,0.0178,0.137
"688","P09525",307,"ANXA4",0.292820967132162,0.0232413979126117,1,5.59e-08,FALSE,FALSE,FALSE,0.238,0.514,-0.251,-0.0125,0.263
"689","P09543",1267,"CNP",0.921797433724669,0.477595086901034,1,0.00671,FALSE,FALSE,FALSE,0.0222,0.161,-0.061,-0.0388,0.0998
"690","P09601",3162,"HMOX1",4.97943344148237e-06,8.38404022258709e-06,1,7.56e-16,TRUE,TRUE,TRUE,1.03,1.01,-0.681,0.353,0.328
"691","P09622",1738,"DLD",0.391190619512695,0.401366341417612,1,0.00366,FALSE,FALSE,FALSE,0.194,0.19,-0.128,0.0661,0.062
"692","P09651",3178,"HNRNPA1",0.42580472444393,0.457674050515059,1,0.00578,FALSE,FALSE,FALSE,0.18,0.168,-0.116,0.0642,0.052
"693","P09661",6627,"SNRPA1",0.434603157549168,0.430149467827361,1,0.00467,FALSE,FALSE,FALSE,0.177,0.179,-0.119,0.0584,0.0601
"694","P09669",1345,"COX6C",0.542988009318712,0.60112550997088,1,0.0145,FALSE,FALSE,FALSE,0.138,0.118,-0.0854,0.0524,0.033
"695","P09758",4070,"TACSTD2",0.554718348599879,0.437927910642102,1,0.00497,FALSE,FALSE,FALSE,0.134,0.176,-0.103,0.0306,0.0725
"696","P09874",142,"PARP1",0.483040876187358,0.492875789481723,1,0.00749,FALSE,FALSE,FALSE,0.159,0.155,-0.105,0.0541,0.0506
"697","P09884",5422,"POLA1",0.903147981473461,0.130457974979717,1,6.26e-05,FALSE,FALSE,FALSE,0.0276,0.343,-0.123,-0.0958,0.219
"698","P09914",3434,"IFIT1",0.882962746894892,0.325117269089592,1,0.00172,FALSE,FALSE,FALSE,-0.0333,0.223,-0.0632,-0.0965,0.16
"699","P09960",4048,"LTA4H",0.811053427906491,0.159222705390946,1,0.000132,FALSE,FALSE,FALSE,0.0541,0.319,-0.124,-0.0702,0.195
"700","P09972",230,"ALDOC",0.709521726760878,0.285849341242286,1,0.00109,FALSE,FALSE,FALSE,0.0844,0.242,-0.109,-0.0243,0.133
"701","P0CG08",51463,"GPR89B",0.0699244122221284,0.472251828833127,1,0.00645,FALSE,FALSE,FALSE,0.41,0.163,-0.191,0.219,-0.0283
"702","P0CG29",2953,"GSTT2",0.222510450692623,0.177082834662203,1,0.000193,FALSE,FALSE,FALSE,0.276,0.306,-0.194,0.0823,0.112
"703","P0CG39",653781,"POTEJ",0.206669064973014,0.0695151614459054,1,5.46e-06,FALSE,FALSE,FALSE,0.286,0.411,-0.232,0.0536,0.179
"704","P0DMV9",3303,"HSPA1B",0.747615056762435,0.0860751884723702,1,1.27e-05,FALSE,FALSE,FALSE,0.0729,0.389,-0.154,-0.081,0.235
"705","P0DP25",801,"P0DP25",0.606222787508079,0.540919489454421,1,0.0103,FALSE,FALSE,FALSE,0.117,0.138,-0.0851,0.0317,0.0534
"706","P0DPB6",51082,"P0DPB6",0.701110844804826,0.293912183014556,1,0.0012,FALSE,FALSE,FALSE,0.0869,0.238,-0.108,-0.0213,0.129
"707","P0DPI2",8209,"P0DPI2",0.878712734480032,0.37807814023698,1,0.00296,FALSE,FALSE,FALSE,0.0346,0.2,-0.0781,-0.0435,0.122
"708","P10109",2230,"FDX1",0.347757637318818,0.0606967017973326,1,3.12e-06,FALSE,FALSE,FALSE,0.213,0.425,-0.212,0.000162,0.212
"709","P10155",6738,"TROVE2",0.661048194487,0.260983234757966,1,0.000788,FALSE,FALSE,FALSE,0.0993,0.255,-0.118,-0.0187,0.137
"710","P10243",4603,"MYBL1",0.619277232472417,0.295017364068137,1,0.00122,FALSE,FALSE,FALSE,0.113,0.237,-0.117,-0.00403,0.121
"711","P10253",2548,"GAA",0.482219682377056,0.0812482927087437,1,1.01e-05,FALSE,FALSE,FALSE,0.159,0.395,-0.185,-0.0255,0.21
"712","P10301",6237,"RRAS",0.84527134560659,0.766111328235371,1,0.0307,FALSE,FALSE,FALSE,0.0442,0.0674,-0.0372,0.00701,0.0302
"713","P10412",3008,"HIST1H1E",0.813480972307316,0.998124506704432,1,0.061,FALSE,FALSE,FALSE,-0.0534,0.000532,0.0176,-0.0358,0.0182
"714","P10515",1737,"DLAT",0.241770543924809,0.104582688306366,1,2.7e-05,FALSE,FALSE,FALSE,0.265,0.368,-0.211,0.0542,0.157
"715","P10586",5792,"PTPRF",0.230223067722736,0.204749174179988,1,0.000326,FALSE,FALSE,FALSE,0.272,0.287,-0.186,0.0854,0.101
"716","P10599",7295,"TXN",0.952078099606539,0.174449290658993,1,0.000183,FALSE,FALSE,FALSE,-0.0136,0.308,-0.098,-0.112,0.21
"717","P10606",1329,"COX5B",0.541327112673725,0.395444787734902,1,0.00347,FALSE,FALSE,FALSE,0.138,0.192,-0.11,0.0281,0.0822
"718","P10619",5476,"CTSA",0.762017576987665,0.270872244858452,1,9e-04,FALSE,FALSE,FALSE,0.0686,0.249,-0.106,-0.0374,0.143
"719","P10620",4257,"MGST1",0.105735546735306,0.358132472449434,1,0.00243,FALSE,FALSE,FALSE,0.366,0.208,-0.192,0.175,0.0166
"720","P10644",5573,"PRKAR1A",0.789368637022299,0.588205875685234,1,0.0135,FALSE,FALSE,FALSE,0.0605,0.123,-0.061,-0.000542,0.0616
"721","P10768",2098,"ESD",0.80418962846587,0.233553339382659,1,0.000525,FALSE,FALSE,FALSE,0.0562,0.27,-0.109,-0.0525,0.161
"722","P10809",3329,"HSPD1",0.0960572725712661,0.150027385185152,1,0.000105,FALSE,FALSE,FALSE,0.377,0.326,-0.234,0.143,0.0917
"723","P10909",1191,"CLU",0.140712813646091,0.0435827883824788,1,8.16e-07,FALSE,FALSE,FALSE,0.334,0.457,-0.264,0.0701,0.194
"724","P11021",3309,"HSPA5",0.0566883280917994,0.0982572403797156,1,2.13e-05,FALSE,FALSE,FALSE,0.432,0.374,-0.269,0.163,0.106
"725","P11047",3915,"LAMC1",0.434779086335736,0.382679622559883,1,0.00309,FALSE,FALSE,FALSE,0.177,0.198,-0.125,0.052,0.0728
"726","P11142",3312,"HSPA8",0.88821449113701,0.168763732979053,1,0.000163,FALSE,FALSE,FALSE,0.0318,0.312,-0.115,-0.0827,0.197
"727","P11166",6513,"SLC2A1",0.176519325619857,0.111134045402908,1,3.39e-05,FALSE,FALSE,FALSE,0.306,0.361,-0.222,0.0838,0.139
"728","P11171",2035,"EPB41",0.0326911444245749,0.215576769928303,1,0.000393,FALSE,FALSE,FALSE,0.484,0.28,-0.255,0.229,0.0257
"729","P11172",7372,"UMPS",0.878656285526465,0.15805299186013,1,0.000128,FALSE,FALSE,FALSE,0.0346,0.32,-0.118,-0.0835,0.202
"730","P11177",5162,"PDHB",0.17120108928949,0.150864137186379,1,0.000108,FALSE,FALSE,FALSE,0.31,0.325,-0.212,0.0982,0.114
"731","P11216",5834,"PYGB",0.343800104673632,0.134034111960231,1,6.94e-05,FALSE,FALSE,FALSE,0.214,0.339,-0.185,0.0298,0.155
"732","P11233",5898,"RALA",0.735120150454775,0.293640711083119,1,0.0012,FALSE,FALSE,FALSE,0.0766,0.238,-0.105,-0.0282,0.133
"733","P11234",5899,"RALB",0.899077789398545,0.681902146660247,1,0.0217,FALSE,FALSE,FALSE,0.0287,0.0928,-0.0405,-0.0118,0.0523
"734","P11274",613,"BCR",0.614515610955879,0.078111338924279,1,8.62e-06,FALSE,FALSE,FALSE,0.114,0.399,-0.171,-0.057,0.228
"735","P11279",3916,"LAMP1",0.0943870905140788,0.0388339963424823,1,5.07e-07,FALSE,FALSE,FALSE,0.379,0.468,-0.282,0.0966,0.186
"736","P11310",34,"ACADM",0.246567453534053,0.175013147071727,1,0.000186,FALSE,FALSE,FALSE,0.262,0.307,-0.19,0.0726,0.117
"737","P11387",7150,"TOP1",0.624734793987265,0.391060258519257,1,0.00334,FALSE,FALSE,FALSE,0.111,0.194,-0.102,0.0091,0.0926
"738","P11388",7153,"TOP2A",0.599525818028199,0.274812117548256,1,0.000947,FALSE,FALSE,FALSE,-0.119,0.247,-0.0428,-0.162,0.205
"739","P11413",2539,"G6PD",0.729122049895831,0.0579822250442643,1,2.59e-06,FALSE,FALSE,FALSE,0.0784,0.429,-0.169,-0.0908,0.26
"740","P11441",8266,"UBL4A",0.0530544991779444,9.66080271979049e-06,1,7.56e-16,FALSE,TRUE,TRUE,0.438,1,-0.48,-0.042,0.522
"741","P11498",5091,"PC",0.413777823468077,0.323452867326714,1,0.00169,FALSE,FALSE,FALSE,0.185,0.224,-0.136,0.0489,0.0874
"742","P11586",4522,"MTHFD1",0.774904901010671,0.165441489793061,1,0.000151,FALSE,FALSE,FALSE,0.0648,0.314,-0.126,-0.0615,0.188
"743","P11717",3482,"IGF2R",0.402272033882889,0.247153147646067,1,0.000645,FALSE,FALSE,FALSE,0.19,0.262,-0.151,0.0391,0.112
"744","P11766",128,"ADH5",0.845543625367539,0.180528104305456,1,0.000208,FALSE,FALSE,FALSE,0.0441,0.303,-0.116,-0.0717,0.187
"745","P11802",1019,"CDK4",0.714664628409466,0.199852319583799,1,0.000298,FALSE,FALSE,FALSE,0.0828,0.29,-0.124,-0.0416,0.166
"746","P11908",5634,"PRPS2",0.509614541635347,0.056737968159796,1,2.37e-06,FALSE,FALSE,FALSE,0.149,0.432,-0.194,-0.0443,0.238
"747","P11912",973,"CD79A",0.180640127496742,0.311882589425493,1,0.00149,FALSE,FALSE,FALSE,0.303,0.229,-0.177,0.126,0.0516
"748","P11940",26986,"PABPC1",0.689610500698033,0.27444450645464,1,0.000943,FALSE,FALSE,FALSE,0.0905,0.248,-0.113,-0.0222,0.135
"749","P12004",5111,"PCNA",0.538520584325644,0.296476431168173,1,0.00124,FALSE,FALSE,FALSE,0.139,0.236,-0.125,0.014,0.111
"750","P12081",3035,"HARS",0.60984749578358,0.100418598996748,1,2.32e-05,FALSE,FALSE,FALSE,0.116,0.372,-0.163,-0.047,0.21
"751","P12109",1291,"COL6A1",0.119912082124803,0.0152595653925333,1,8.59e-09,FALSE,FALSE,FALSE,0.352,0.55,-0.301,0.0516,0.249
"752","P12235",291,"SLC25A4",0.493830948419148,0.21968521258755,1,0.000419,FALSE,FALSE,FALSE,0.155,0.278,-0.144,0.0107,0.134
"753","P12236",293,"SLC25A6",0.30975375222565,0.283041365210938,1,0.00105,FALSE,FALSE,FALSE,0.23,0.243,-0.158,0.0723,0.0854
"754","P12268",3615,"IMPDH2",0.700656560583223,0.185151446112549,1,0.000228,FALSE,FALSE,FALSE,0.0871,0.3,-0.129,-0.042,0.171
"755","P12270",7175,"TPR",0.483862828771963,0.413368899294785,1,0.00406,FALSE,FALSE,FALSE,0.159,0.185,-0.115,0.044,0.0707
"756","P12277",1152,"CKB",0.549432807225926,0.296153534984819,1,0.00124,FALSE,FALSE,FALSE,0.136,0.237,-0.124,0.0115,0.113
"757","P12429",306,"ANXA3",0.865864901332511,0.442119285914066,1,0.00513,FALSE,FALSE,FALSE,-0.0383,0.174,-0.0453,-0.0835,0.129
"758","P12532",1159,"CKMT1A",0.331961594750417,0.212509224413733,1,0.000373,FALSE,FALSE,FALSE,0.22,0.282,-0.167,0.0524,0.115
"759","P12694",593,"BCKDHA",0.110769349468285,0.0782985371594764,1,8.7e-06,FALSE,FALSE,FALSE,0.361,0.399,-0.253,0.108,0.145
"760","P12814",87,"ACTN1",0.452842331344697,0.281204351936016,1,0.00103,FALSE,FALSE,FALSE,0.17,0.244,-0.138,0.032,0.106
"761","P12830",999,"CDH1",0.523654046885673,0.238371820515334,1,0.000566,FALSE,FALSE,FALSE,0.144,0.267,-0.137,0.00728,0.13
"762","P12931",6714,"SRC",0.196206565550493,0.156029063103204,1,0.000122,FALSE,FALSE,FALSE,0.293,0.321,-0.205,0.0881,0.117
"763","P12955",5184,"PEPD",0.803196915906166,0.303084986594632,1,0.00134,FALSE,FALSE,FALSE,0.0564,0.233,-0.0966,-0.0401,0.137
"764","P12956",2547,"XRCC6",0.252994126443714,0.130289667631475,1,6.23e-05,FALSE,FALSE,FALSE,0.259,0.343,-0.201,0.0584,0.142
"765","P13010",7520,"XRCC5",0.471234097676662,0.177040177612442,1,0.000193,FALSE,FALSE,FALSE,0.163,0.306,-0.156,0.00687,0.149
"766","P13073",1327,"COX4I1",0.839487419436314,0.429239173916129,1,0.00463,FALSE,FALSE,FALSE,0.0459,0.179,-0.075,-0.0291,0.104
"767","P13196",211,"ALAS1",0.573942904038962,0.470653750092587,1,0.00637,FALSE,FALSE,FALSE,0.127,0.163,-0.0969,0.0304,0.0665
"768","P13473",3920,"LAMP2",0.000394666291997113,4.62177244268928e-11,1,7.56e-16,TRUE,TRUE,TRUE,0.803,1.49,-0.765,0.038,0.727
"769","P13489",6050,"RNH1",0.569599145523193,0.241895173785929,1,0.000596,FALSE,FALSE,FALSE,0.129,0.265,-0.131,-0.00249,0.134
"770","P13598",3384,"ICAM2",0.660501981864386,0.447688614554742,1,0.00536,FALSE,FALSE,FALSE,0.0995,0.172,-0.0905,0.009,0.0815
"771","P13639",1938,"EEF2",0.946421512573929,0.0704173276242853,1,5.75e-06,FALSE,FALSE,FALSE,0.0152,0.41,-0.142,-0.126,0.268
"772","P13667",9601,"PDIA4",0.18544179719518,0.202854938498553,1,0.000315,FALSE,FALSE,FALSE,0.3,0.288,-0.196,0.104,0.0923
"773","P13674",5033,"P4HA1",0.869543045118447,0.420549016965668,1,0.00431,FALSE,FALSE,FALSE,0.0372,0.182,-0.0732,-0.036,0.109
"774","P13693",7178,"TPT1",0.917695986152694,0.13692301995856,1,7.51e-05,FALSE,FALSE,FALSE,0.0234,0.337,-0.12,-0.0967,0.217
"775","P13716",210,"ALAD",0.904068399835826,0.382733633496604,1,0.00309,FALSE,FALSE,FALSE,0.0273,0.198,-0.075,-0.0477,0.123
"776","P13796",3936,"LCP1",0.9933755188566,0.629789000506365,1,0.0169,FALSE,FALSE,FALSE,0.00188,0.109,-0.037,-0.0351,0.0722
"777","P13797",5358,"PLS3",0.866849473107381,0.334091508661166,1,0.0019,FALSE,FALSE,FALSE,0.038,0.219,-0.0856,-0.0476,0.133
"778","P13798",327,"APEH",0.873573268505774,0.343048475068149,1,0.00209,FALSE,FALSE,FALSE,0.036,0.215,-0.0836,-0.0476,0.131
"779","P13804",2108,"ETFA",0.290968523304987,0.161954029849058,1,0.00014,FALSE,FALSE,FALSE,0.239,0.317,-0.185,0.0539,0.131
"780","P13807",2997,"GYS1",0.892475992433343,0.21935915178341,1,0.000417,FALSE,FALSE,FALSE,-0.0306,0.278,-0.0825,-0.113,0.196
"781","P13861",5576,"PRKAR2A",0.221917720660518,0.200116885052666,1,3e-04,FALSE,FALSE,FALSE,0.277,0.29,-0.189,0.0877,0.101
"782","P13984",2963,"GTF2F2",0.35921980890084,0.0546326442401541,1,2.03e-06,FALSE,FALSE,FALSE,0.208,0.435,-0.214,-0.00665,0.221
"783","P13987",966,"CD59",0.330098550392481,0.575574623360221,1,0.0126,FALSE,FALSE,FALSE,0.221,0.127,-0.116,0.105,0.011
"784","P13995",10797,"MTHFD2",0.626166685452054,0.41038202492435,1,0.00396,FALSE,FALSE,FALSE,0.11,0.186,-0.0989,0.0114,0.0875
"785","P14174",4282,"MIF",0.867083794497836,0.136713099807887,1,7.47e-05,FALSE,FALSE,FALSE,0.0379,0.337,-0.125,-0.0871,0.212
