"","ID_uniprot","GeneID_entrez"
"3705","O60749",6643
"1263","O60762",8813
"4235","O60763",8615
"2398","O60783",63931
"4014","O60784",10043
"2862","O60825",5208
"804","O60826",28952
"3944","O60830",10245
"3044","O60831",11230
"1220","O60832",1736
"1365","O60841",9669
"77","O60869",8721
"1213","O60879",1730
"1231","O60884",10294
"1094","O60888",51596
"1927","O60921",3364
"2857","O60925",5201
"193","O60927",6992
"2508","O60934",4683
"2620","O60936",8996
"326","O75027",22
"246","O75044",23380
"1957","O75054",3321
"4318","O75083",9948
"28","O75110",10079
"3340","O75116",9475
"931","O75122",23122
"3145","O75127",26024
"982","O75128",23242
"1029","O75131",8895
"1816","O75146",9026
"2716","O75147",23363
"3335","O75150",9810
"4382","O75152",9877
"956","O75153",23277
"1241","O75165",23317
"971","O75175",4849
"483","O75179",26057
"239","O75182",23309
"1238","O75190",10049
"2172","O75197",4041
"1010","O75208",57017
"1639","O75223",79017
"2558","O75251",374291
"2553","O75306",4720
"4410","O75312",8882
"1283","O75319",8446
"232","O75326",8482
"2820","O75340",10016
"3891","O75347",6902
"644","O75348",9550
"4302","O75351",9525
"1773","O75367",9555
"3577","O75368",6451
"1555","O75369",2317
"2557","O75380",4726
"2852","O75381",5195
"1052","O75390",1431
"3520","O75396",9554
"3082","O75400",55660
"2170","O75427",4034
"2448","O75431",10651
"4292","O75436",9559
"2945","O75439",9512
"2289","O75448",9862
"3096","O75475",11168
"1425","O75477",10613
"2554","O75489",4722
"3763","O75494",10772
"1895","O75506",3281
"1302","O75521",10455
"1308","O75530",8726
"29","O75531",8815
"3562","O75533",23451
"1053","O75534",7812
"3070","O75569",8575
"2461","O75592",23077
"2643","O75607",10360
"2204","O75608",10434
"1411","O75616",26284
"3683","O75643",23020
"3950","O75663",261726
"4015","O75674",10040
"3427","O75676",8986
"3844","O75683",6838
"3007","O75688",5495
"4257","O75691",27340
"2691","O75694",9631
"3341","O75695",6102
"4317","O75717",11169
"1049","O75718",10491
"3607","O75746",8604
"637","O75787",10159
"3326","O75792",10535
"847","O75794",8872
"2980","O75817",10248
"217","O75818",10799
"1347","O75821",8666
"1350","O75822",8669
"790","O75828",874
"3119","O75832",5716
"506","O75843",8906
"4396","O75844",10269
"1939","O75874",3417
"3497","O75880",6341
"208","O75884",10741
"3787","O75886",10254
"9","O75891",10840
"819","O75909",8812
"1197","O75911",9249
"567","O75915",10550
"677","O75934",10286
"1137","O75935",11258
"71","O75937",22826
"3673","O75940",10285
"629","O75947",10476
"1557","O75955",10211
"4070","O75962",7204
"633","O75964",10632
"1025","O75976",1362
"1657","O76003",10539
"3449","O76021",26156
"4338","O76024",7466
"950","O76031",10845
"3518","O76054",23541
"917","O76071",9391
"3754","O76094",6731
"1143","O94760",23576
"4232","O94763",8725
"660","O94766",26229
"2426","O94776",9219
"1637","O94808",9945
"2197","O94822",26046
"4022","O94826",9868
"2475","O94832",4642
"3527","O94855",9871
"4203","O94874",23376
"2884","O94880",9678
"4195","O94888",26043
"3834","O94901",23353
"3075","O94903",11212
"1426","O94905",11160
"3083","O94906",24148
"2804","O94913",51585
"1574","O94915",285527
"1385","O94919",23052
"1659","O94925",2744
"341","O94929",22885
"1525","O94952",23014
"4241","O94966",10869
"511","O94973",161
"3528","O94979",22872
"1809","O94992",10614
"3395","O95059",11102
"816","O95067",9133
"4365","O95070",10897
"4190","O95071",51366
"3489","O95104",57466
"2549","O95139",4712
"2302","O95140",9927
"4180","O95155",10277
"1960","O95163",8518
"2547","O95168",4710
"227","O95171",8796
"3457","O95197",10313
"2135","O95202",3954
"1403","O95208",22905
"3796","O95210",8987
"4411","O95218",9406
"2200","O95232",51747
"2068","O95235",10112
"2074","O95239",24137
"1704","O95249",9527
"2037","O95251",11143
"601","O95260",11101
"817","O95273",23582
"4268","O95292",9217
"3259","O95294",8437
"3681","O95295",23557
"2354","O95297",9019
"2551","O95298",4718
"2530","O95299",4705
"1551","O95302",11328
